date,link,summary,summary_polarity,title,title_polarity
2011-01-13 20:30:47,https://www.bloomberg.com/news/articles/2011-01-13/tenaris-plunges-on-report-of-lower-earnings-guidance-update1-, Tenaris SA shares plunged today after a report that the world’s biggest maker of seamless steel tubes for oil and gas extraction warned that fourth-quarter results may be weaker than analysts estimate... ,0.1, Tenaris Plunges On Report of Lower Earnings Guidance ,0.0
2011-01-14 12:23:29,https://www.bloomberg.com/news/articles/2011-01-14/european-index-futures-fall-before-u-s-data-mining-companies-might-drop," Billiton Ltd., the world’s biggest mining company, fell 2.2 percent to 2,467 pence.  ThyssenKrupp, TenarisThyssenKrupp dropped 3 percent to 30.77 euros after Hippe quit Germany’s largest steelmaker. The... ",0.0, European Stocks Decline as China Cools Growth; Xstrata Slides ,0.0
2011-01-14 16:49:07,https://www.bloomberg.com/news/articles/2011-01-14/italian-stocks-ansaldo-atlantia-fondiaria-tenaris-terna," Pty Ltd to build a gas pipeline, according to a statement through the Italian exchange today. Tenaris SA (TEN IM) declined for a second day, losing 1.2 percent to 17.15 euros. Mediobanca Securities... ",0.0," Italian Stocks: Ansaldo, Atlantia, Fiat, Fondiaria, and Popolare ",0.0
2011-01-17 20:36:18,https://www.bloomberg.com/news/articles/2011-01-17/argentine-stock-movers-capex-and-tenaris-rise-molinos-falls,  corn and wheat as part of a weeklong strike to protest government restrictions on exports. Tenaris SA (TS AF) rose 0.6 percent to 93.90 pesos. The world’s largest producer of seamless steel tubes... ,0.35," Argentine Stock Movers: Capex, Tenaris Rise; Molinos Falls ",0.0
2011-01-24 20:35:02,https://www.bloomberg.com/news/articles/2011-01-24/argentine-stocks-bbva-banco-frances-sa-and-tenaris-sa-fall," with the shares of its controller, which declined up to 2.4 percent earlier today in Madrid. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes, fell 0.3 percent to 92.75 pesos... ",0.05, Argentine Stocks: BBVA Banco Frances SA and Tenaris SA Fall ,0.0
2011-02-14 03:00:45,https://www.bloomberg.com/news/articles/2011-02-14/ge-agrees-to-buy-john-wood-group-well-support-unit-for-about-2-8-billion," today, if completed, follows the acquisition of Wellstream Holdings Plc, the Hydril unit of Tenaris SA purchased in 2008, and Vetco Gray Inc. in 2007. GE Chief Executive Officer Jeffrey Immelt... ",0.0, GE to Buy John Wood Extraction Unit for $2.8 Billion ,0.0
2011-02-14 22:57:10,https://www.bloomberg.com/news/articles/2011-02-14/ge-spending-spree-adds-2-8-billion-john-wood-oil-service-unit," purchase today, if completed, would follow Wellstream, and the acquisitions of the Hydril unit of Tenaris SA in 2008 and Vetco Gray Inc. in 2007. Acquiring the unit, which has about 3,800 employees,... ",0.0, GE Agrees to Buy $2.8 Billion Oil-Service Unit; Shares Surge ,0.0
2011-02-23 09:15:49,https://www.bloomberg.com/news/articles/2011-02-22/buongiorno-fondiaria-generali-snam-italian-equity-preview," rating on the stock, said in a note that life insurance premiums were higher than expected. Tenaris SA (TEN IM) dropped 2.6 percent to 16.97 euros, erasing yesterday’s gains. The producer of seamless... ",0.0625," Italian Stocks Fall; Finmeccanica, Fondiaria, Tenaris Move ",0.0
2011-02-24 17:07:05,https://www.bloomberg.com/news/articles/2011-02-23/brembo-generali-trevi-may-move-italian-equity-market-preview," and margin opportunity.” The world’s biggest maker of glasses will report earnings on Feb. 28. Tenaris SA (TEN IM) dropped 3.9 percent to 16.34 euros, extending a 2.4 percent loss yesterday. The world’s... ",0.0," Italian Stocks: Enel Green Power, Eni, Generali, and Tenaris ",-0.1
2011-02-24 20:25:54,https://www.bloomberg.com/news/articles/2011-02-24/argentine-stocks-molinos-and-tenaris-fall-petrobras-rises," sovereign bonds in Argentina declined, which signals lower value for banks’ fixed-income holdings. Tenaris SA (TS AF) lost 4.7 percent to 93.6 pesos, its steepest plunge in six weeks. The world’s largest... ",0.0," Argentine Stocks: Galicia, Petrobras and Tenaris Decline ",0.0
2011-02-24 22:16:51,https://www.bloomberg.com/news/articles/2011-02-24/belgacom-deutsche-bank-fiat-henkel-european-equity-preview, Rocca said in a conference call. Tenaris eastern hemisphere area manager Alejandro Lammertyn said the company had “some” delays in shipments from Egypt. Tenaris fourth-quarter profit rose 44 percent... ,0.6," Belgacom, Deutsche Bank, Fiat, Henkel: European Equity Preview ",0.0
2011-02-25 07:15:44,https://www.bloomberg.com/news/articles/2011-02-24/unicredit-tenaris-fiat-italian-market-equity-preview, Rocca said in a conference call. Tenaris eastern hemisphere area manager Alejandro Lammertyn said the company had “some” delays in shipments from Egypt. Tenaris fourth-quarter profit rose 44 percent... ,0.6," UniCredit, Tenaris, Fiat: Italian Market Equity Preview ",0.0
2011-03-10 07:40:11,https://www.bloomberg.com/news/articles/2011-03-10/enel-green-finmeccanica-fondiaria-may-be-active-italian-equity-preview, of Sofora Telecomunicaciones SA for $145 million. The shares rose 0.2 percent to 1.14 euros. Tenaris SA (TEN IM): JPMorgan Chase & Co. cut its recommendation on the world’s largest maker of seamless... ,0.2333," Enel Green, Fondiaria, Intesa, Tenaris: Italian Equity Preview ",-0.1
2011-03-11 16:12:46,https://www.bloomberg.com/news/articles/2011-03-11/argentine-stocks-edenor-rises-siderar-and-tenaris-decline," prices declined after an earthquake struck Japan and inflation exceeded estimates in China. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes used in the oil industry, retreated... ",0.1, Argentine Stocks: Edenor Rises; Siderar and Tenaris Decline ,0.0
